"","Player","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"166","Percy Harvin",NA,NA,"90_MIN_WR",NA,NA,NA,NA,NA,NA,NA,NA
"167","Gerald McCoy",NA,NA,"92_TB_DT","28_TB_DT","28_TB_DT","63_TB_DT","52_TB_DT",NA,"75_TB_DT",NA,NA
"168","Anquan Boldin",NA,NA,"93_BAL_WR",NA,NA,NA,NA,NA,NA,NA,NA
"169","Daryl Washington",NA,NA,"94_ARI_LB","96_ARI_LB",NA,NA,NA,NA,NA,NA,NA
"170","Max Unger",NA,NA,"95_SEA_C",NA,NA,NA,NA,NA,NA,NA,NA
"171","Dashon Goldson",NA,NA,"96_SF_S",NA,NA,NA,NA,NA,NA,NA,NA
"172","Heath Miller",NA,NA,"97_PIT_TE",NA,NA,NA,NA,NA,NA,NA,NA
"173","Trent Williams",NA,NA,"99_WAS_OT","60_WAS_OT","47_WAS_OT","45_WAS_OT","47_WAS_OT","57_WAS_OT","81_WAS_OT",NA,"42_SF_OT"
"174","Dennis Pitta",NA,NA,"100_BAL_TE",NA,NA,NA,NA,NA,NA,NA,NA
"175","Robert Quinn",NA,NA,NA,"13_LAR_DE","44_LAR_DE",NA,NA,NA,NA,NA,NA
"176","Josh Gordon",NA,NA,NA,"16_CLV_WR",NA,NA,NA,NA,NA,NA,NA
"177","Antonio Brown",NA,NA,NA,"23_PIT_WR","8_PIT_WR","4_PIT_WR","4_PIT_WR","2_PIT_WR","7_PIT_WR",NA,NA
"178","Kyle Williams",NA,NA,NA,"32_BUF_DT","72_BUF_DT",NA,NA,NA,NA,NA,NA
"179","Lavonte David",NA,NA,NA,"35_TB_LB","56_TB_LB","53_TB_LB",NA,NA,NA,"100_TB_LB","43_TB_LB"
"180","Joe Haden",NA,NA,NA,"39_CLV_CB","23_CLV_CB",NA,NA,NA,NA,NA,NA
"181","Muhammad Wilkerson",NA,NA,NA,"42_NYJ_DE","74_NYJ_DE","39_NYJ_DE",NA,NA,NA,NA,NA
"182","Vontaze Burfict",NA,NA,NA,"52_CIN_LB",NA,NA,NA,NA,NA,NA,NA
"183","Greg Hardy",NA,NA,NA,"53_CAR_DE",NA,NA,NA,NA,NA,NA,NA
"184","Alshon Jeffery",NA,NA,NA,"54_CHI_WR",NA,NA,NA,NA,NA,NA,NA
"185","Marshal Yanda",NA,NA,NA,"55_BAL_G","79_BAL_G","37_BAL_G","43_BAL_G",NA,NA,NA,NA
"186","DeAndre Levy",NA,NA,NA,"59_DET_LB","66_DET_LB",NA,NA,NA,NA,NA,NA
"187","Marcell Dareus",NA,NA,NA,"62_BUF_DT","53_BUF_DT",NA,NA,NA,NA,NA,NA
"188","Kam Chancellor",NA,NA,NA,"65_SEA_S","41_SEA_S","32_SEA_S","34_SEA_S","75_SEA_S",NA,NA,NA
"189","Nick Foles",NA,NA,NA,"70_PHI_QB",NA,NA,NA,NA,NA,NA,NA
"190","Tyron Smith",NA,NA,NA,"78_DAL_OT","36_DAL_OT","42_DAL_OT","18_DAL_OT","39_DAL_OT","52_DAL_OT","78_DAL_OT",NA
"191","Aqib Talib",NA,NA,NA,"79_NE_CB",NA,"34_DEN_CB","37_DEN_CB","53_DEN_CB",NA,NA,NA
"192","Pierre Garçon",NA,NA,NA,"80_WAS_WR",NA,NA,NA,NA,NA,NA,NA
"193","T. J. Ward",NA,NA,NA,"82_CLV_S",NA,NA,NA,NA,NA,NA,NA
"194","Kiko Alonso",NA,NA,NA,"84_BUF_LB",NA,NA,NA,NA,NA,NA,NA
"195","Reggie Bush",NA,NA,NA,"85_DET_RB",NA,NA,NA,NA,NA,NA,NA
"196","DeMarco Murray",NA,NA,NA,"87_DAL_RB","4_DAL_RB",NA,"33_TEN_RB",NA,NA,NA,NA
"197","Evan Mathis",NA,NA,NA,"88_PHI_G",NA,NA,NA,NA,NA,NA,NA
"198","Charles Clay",NA,NA,NA,"89_MIA_TE",NA,NA,NA,NA,NA,NA,NA
"199","Eddie Lacy",NA,NA,NA,"90_GB_RB","60_GB_RB",NA,NA,NA,NA,NA,NA
"200","Eric Weddle",NA,NA,NA,"92_LAC_S","86_LAC_S",NA,NA,NA,"100_BAL_S",NA,NA
"201","Sheldon Richardson",NA,NA,NA,"94_NYJ_DT","55_NYJ_DE",NA,NA,NA,NA,NA,NA
"202","Brent Grimes",NA,NA,NA,"95_MIA_CB","38_MIA_CB",NA,NA,NA,NA,NA,NA
"203","Louis Vasquez",NA,NA,NA,"97_DEN_G",NA,NA,NA,NA,NA,NA,NA
"204","Cameron Jordan",NA,NA,NA,"99_NOR_DE",NA,"99_NOR_DE",NA,"26_NOR_DE","41_NOR_DE","23_NOR_DE","46_NOR_DE"
"205","J.J. Watt",NA,NA,NA,NA,"1_HOU_DE",NA,"35_HOU_DE",NA,NA,NA,NA
"206","Le'Veon Bell",NA,NA,NA,NA,"16_PIT_RB","41_PIT_RB","9_PIT_RB","5_PIT_RB",NA,NA,NA
"207","Odell Beckham Jr.",NA,NA,NA,NA,"32_NYG_WR","10_NYG_WR","8_NYG_WR","77_NYG_WR","23_NYG_WR","59_CLV_WR",NA
"208","T.Y. Hilton",NA,NA,NA,NA,"35_IND_WR",NA,"61_IND_WR",NA,NA,NA,NA
"209","Julius Thomas",NA,NA,NA,NA,"45_DEN_TE",NA,NA,NA,NA,NA,NA
"210","Khalil Mack",NA,NA,NA,NA,"49_LV_LB","13_LV_DE","5_LV_DE","16_LV_DE","3_CHI_LB","19_CHI_LB","23_CHI_LB"
"211","Connor Barwin",NA,NA,NA,NA,"58_PHI_LB",NA,NA,NA,NA,NA,NA
"212","Vontae Davis",NA,NA,NA,NA,"59_IND_CB",NA,NA,NA,NA,NA,NA
